date,value
2017-09-30,0.0
2017-10-01,0.0
2017-10-02,26.0
2017-10-03,13.0
2017-10-04,13.0
2017-10-05,0.0
2017-10-06,40.0
2017-10-07,0.0
2017-10-08,0.0
2017-10-09,13.0
2017-10-10,13.0
2017-10-11,0.0
2017-10-12,65.0
2017-10-13,27.0
2017-10-14,0.0
2017-10-15,0.0
2017-10-16,38.0
2017-10-17,13.0
2017-10-18,0.0
2017-10-19,13.0
2017-10-20,0.0
2017-10-21,0.0
2017-10-22,0.0
2017-10-23,0.0
2017-10-24,0.0
2017-10-25,13.0
2017-10-26,13.0
2017-10-27,13.0
2017-10-28,29.0
2017-10-29,0.0
2017-10-30,13.0
2017-10-31,13.0
2017-11-01,13.0
2017-11-02,26.0
2017-11-03,26.0
2017-11-04,0.0
2017-11-05,0.0
2017-11-06,25.0
2017-11-07,12.0
2017-11-08,38.0
2017-11-09,12.0
2017-11-10,26.0
2017-11-11,14.0
2017-11-12,14.0
2017-11-13,25.0
2017-11-14,25.0
2017-11-15,37.0
2017-11-16,12.0
2017-11-17,13.0
2017-11-18,0.0
2017-11-19,0.0
2017-11-20,12.0
2017-11-21,12.0
2017-11-22,13.0
2017-11-23,0.0
2017-11-24,0.0
2017-11-25,0.0
2017-11-26,0.0
2017-11-27,12.0
2017-11-28,25.0
2017-11-29,62.0
2017-11-30,100.0
2017-12-01,39.0
2017-12-02,0.0
2017-12-03,0.0
2017-12-04,0.0
2017-12-05,0.0
2017-12-06,25.0
2017-12-07,25.0
2017-12-08,13.0
2017-12-09,0.0
2017-12-10,14.0
2017-12-11,24.0
2017-12-12,50.0
2017-12-13,12.0
2017-12-14,26.0
2017-12-15,26.0
2017-12-16,0.0
2017-12-17,0.0
2017-12-18,13.0
2017-12-19,0.0
2017-12-20,13.0
2017-12-21,0.0
2017-12-22,42.0
2017-12-23,0.0
2017-12-24,0.0
2017-12-25,0.0
2017-12-26,14.0
2017-12-27,13.0
2017-12-28,13.0
2017-12-29,0.0
2017-12-30,0.0
2017-12-31,0.0
2018-01-01,15.0
2018-01-02,26.0
2018-01-03,13.0
2018-01-04,12.0
2018-01-05,0.0
2018-01-06,0.0
2018-01-07,0.0
2018-01-08,49.0
2018-01-09,60.0
2018-01-10,12.0
2018-01-11,12.0
2018-01-12,0.0
2018-01-13,0.0
2018-01-14,0.0
2018-01-15,24.0
2018-01-16,24.0
2018-01-17,24.0
2018-01-18,0.0
2018-01-19,25.0
2018-01-20,14.0
2018-01-21,0.0
2018-01-22,0.0
2018-01-23,48.0
2018-01-24,0.0
2018-01-25,36.0
2018-01-26,0.0
2018-01-27,0.0
2018-01-28,14.0
2018-01-29,0.0
2018-01-30,12.0
2018-01-31,59.0
2018-02-01,0.0
2018-02-02,25.0
2018-02-03,0.0
2018-02-04,0.0
2018-02-05,60.0
2018-02-06,47.0
2018-02-07,36.0
2018-02-08,36.0
2018-02-09,50.0
2018-02-10,14.0
2018-02-11,0.0
2018-02-12,12.0
2018-02-13,37.0
2018-02-14,49.0
2018-02-15,12.0
2018-02-16,25.0
2018-02-17,0.0
2018-02-18,0.0
2018-02-19,0.0
2018-02-20,48.0
2018-02-21,12.0
2018-02-22,0.0
2018-02-23,13.0
2018-02-24,0.0
2018-02-25,13.0
2018-02-26,12.0
2018-02-27,24.0
2018-02-28,0.0
2018-03-01,59.0
2018-03-02,0.0
2018-03-03,27.0
2018-03-04,14.0
2018-03-05,23.0
2018-03-06,36.0
2018-03-07,12.0
2018-03-08,0.0
2018-03-09,25.0
2018-03-10,0.0
2018-03-11,0.0
2018-03-12,23.0
2018-03-13,0.0
2018-03-14,0.0
2018-03-15,12.0
2018-03-16,37.0
2018-03-17,0.0
2018-03-18,0.0
2018-03-19,24.0
2018-03-20,24.0
2018-03-21,12.0
2018-03-22,0.0
2018-03-23,38.0
2018-03-24,0.0
2018-03-25,0.0
2018-03-26,12.0
