date,ADBE stock
2013-02-19,0
2013-02-20,0
2013-02-21,0
2013-02-22,0
2013-02-23,0
2013-02-24,0
2013-02-25,0
2013-02-26,0
2013-02-27,25
2013-02-28,0
2013-03-01,0
2013-03-02,0
2013-03-03,0
2013-03-04,0
2013-03-05,25
2013-03-06,76
2013-03-07,0
2013-03-08,26
2013-03-09,0
2013-03-10,0
2013-03-11,25
2013-03-12,0
2013-03-13,0
2013-03-14,0
2013-03-15,26
2013-03-16,30
2013-03-17,0
2013-03-18,0
2013-03-19,74
2013-03-20,25
2013-03-21,25
2013-03-22,0
2013-03-23,0
2013-03-24,0
2013-03-25,0
2013-03-26,25
2013-03-27,26
2013-03-28,0
2013-03-29,0
2013-03-30,0
2013-03-31,31
2013-04-01,52
2013-04-02,0
2013-04-03,25
2013-04-04,25
2013-04-05,0
2013-04-06,0
2013-04-07,0
2013-04-08,0
2013-04-09,0
2013-04-10,0
2013-04-11,0
2013-04-12,0
2013-04-13,0
2013-04-14,0
2013-04-15,25
2013-04-16,0
2013-04-17,0
2013-04-18,0
2013-04-19,26
2013-04-20,0
2013-04-21,0
2013-04-22,25
2013-04-23,0
2013-04-24,0
2013-04-25,0
2013-04-26,0
2013-04-27,0
2013-04-28,0
2013-04-29,0
2013-04-30,25
2013-05-01,27
2013-05-02,25
2013-05-03,54
2013-05-04,30
2013-05-05,0
2013-05-06,0
2013-05-07,25
2013-05-08,0
2013-05-09,51
2013-05-10,27
2013-05-11,0
2013-05-12,0
2013-05-13,0
2013-05-14,0
2013-05-15,25
2013-05-16,0
2013-05-17,0
2013-05-18,0
2013-05-19,0
2013-05-20,25
2013-05-21,0
2013-05-22,0
2013-05-23,25
2013-05-24,0
2013-05-25,0
2013-05-26,0
2013-05-27,0
2013-05-28,0
2013-05-29,0
2013-05-30,0
2013-05-31,0
2013-06-01,0
2013-06-02,0
2013-06-03,24
2013-06-04,24
2013-06-05,25
2013-06-06,0
2013-06-07,0
2013-06-08,0
2013-06-09,0
2013-06-10,0
2013-06-11,0
2013-06-12,25
2013-06-13,0
2013-06-14,0
2013-06-15,0
2013-06-16,0
2013-06-17,0
2013-06-18,0
2013-06-19,50
2013-06-20,50
2013-06-21,0
2013-06-22,31
2013-06-23,0
2013-06-24,25
2013-06-25,74
2013-06-26,0
2013-06-27,0
2013-06-28,0
2013-06-29,0
2013-06-30,0
2013-07-01,25
2013-07-02,25
2013-07-03,51
2013-07-04,26
2013-07-05,28
2013-07-06,32
2013-07-07,0
2013-07-08,25
2013-07-09,25
2013-07-10,0
2013-07-11,52
2013-07-12,27
2013-07-13,0
2013-07-14,0
2013-07-15,51
2013-07-16,50
2013-07-17,0
2013-07-18,0
2013-07-19,27
2013-07-20,0
2013-07-21,32
2013-07-22,0
2013-07-23,74
2013-07-24,0
2013-07-25,0
2013-07-26,27
2013-07-27,0
2013-07-28,0
2013-07-29,25
2013-07-30,0
2013-07-31,0
2013-08-01,26
2013-08-02,0
2013-08-03,0
2013-08-04,0
2013-08-05,0
2013-08-06,51
2013-08-07,0
2013-08-08,0
2013-08-09,0
2013-08-10,0
2013-08-11,0
2013-08-12,0
2013-08-13,0
2013-08-14,25
2013-08-15,53
2013-08-16,0
2013-08-17,0
2013-08-18,30
2013-08-19,25
2013-08-20,0
2013-08-21,25
2013-08-22,0
2013-08-23,53
2013-08-24,60
2013-08-25,0
2013-08-26,0
2013-08-27,0
2013-08-28,0
2013-08-29,0
2013-08-30,26
2013-08-31,0
2013-09-01,0
2013-09-02,0
2013-09-03,0
2013-09-04,0
2013-09-05,49
2013-09-06,0
2013-09-07,0
2013-09-08,0
2013-09-09,0
2013-09-10,23
2013-09-11,24
2013-09-12,24
2013-09-13,0
2013-09-14,0
2013-09-15,0
2013-09-16,0
2013-09-17,0
2013-09-18,48
2013-09-19,48
2013-09-20,25
2013-09-21,0
2013-09-22,0
2013-09-23,0
2013-09-24,47
2013-09-25,0
2013-09-26,24
2013-09-27,0
2013-09-28,0
2013-09-29,0
2013-09-30,47
2013-10-01,0
2013-10-02,0
2013-10-03,0
2013-10-04,100
2013-10-05,28
2013-10-06,28
2013-10-07,0
2013-10-08,24
2013-10-09,24
2013-10-10,0
2013-10-11,25
2013-10-12,29
2013-10-13,0
2013-10-14,24
2013-10-15,24
2013-10-16,0
2013-10-17,24
2013-10-18,0
2013-10-19,0
2013-10-20,0
2013-10-21,23
2013-10-22,23
2013-10-23,0
2013-10-24,24
2013-10-25,0
2013-10-26,0
2013-10-27,27
2013-10-28,23
2013-10-29,0
2013-10-30,23
2013-10-31,48
2013-11-01,0
2013-11-02,0
2013-11-03,0
2013-11-04,0
2013-11-05,0
2013-11-06,0
