date,value
2017-09-30,0.0
2017-10-01,0.0
2017-10-02,20.0
2017-10-03,0.0
2017-10-04,0.0
2017-10-05,100.0
2017-10-06,0.0
2017-10-07,0.0
2017-10-08,0.0
2017-10-09,0.0
2017-10-10,19.0
2017-10-11,0.0
2017-10-12,0.0
2017-10-13,21.0
2017-10-14,0.0
2017-10-15,0.0
2017-10-16,19.0
2017-10-17,0.0
2017-10-18,20.0
2017-10-19,0.0
2017-10-20,0.0
2017-10-21,0.0
2017-10-22,0.0
2017-10-23,0.0
2017-10-24,19.0
2017-10-25,19.0
2017-10-26,0.0
2017-10-27,0.0
2017-10-28,0.0
2017-10-29,0.0
2017-10-30,19.0
2017-10-31,20.0
2017-11-01,20.0
2017-11-02,0.0
2017-11-03,20.0
2017-11-04,0.0
2017-11-05,0.0
2017-11-06,19.0
2017-11-07,0.0
2017-11-08,19.0
2017-11-09,19.0
2017-11-10,20.0
2017-11-11,0.0
2017-11-12,0.0
2017-11-13,0.0
2017-11-14,0.0
2017-11-15,19.0
2017-11-16,0.0
2017-11-17,0.0
2017-11-18,22.0
2017-11-19,0.0
2017-11-20,0.0
2017-11-21,0.0
2017-11-22,19.0
2017-11-23,0.0
2017-11-24,0.0
2017-11-25,0.0
2017-11-26,0.0
2017-11-27,0.0
2017-11-28,0.0
2017-11-29,38.0
2017-11-30,0.0
2017-12-01,20.0
2017-12-02,0.0
2017-12-03,0.0
2017-12-04,0.0
2017-12-05,0.0
2017-12-06,0.0
2017-12-07,19.0
2017-12-08,20.0
2017-12-09,45.0
2017-12-10,0.0
2017-12-11,56.0
2017-12-12,19.0
2017-12-13,38.0
2017-12-14,20.0
2017-12-15,0.0
2017-12-16,0.0
2017-12-17,22.0
2017-12-18,0.0
2017-12-19,20.0
2017-12-20,0.0
2017-12-21,0.0
2017-12-22,0.0
2017-12-23,0.0
2017-12-24,0.0
2017-12-25,0.0
2017-12-26,0.0
2017-12-27,0.0
2017-12-28,0.0
2017-12-29,0.0
2017-12-30,0.0
2017-12-31,24.0
2018-01-01,0.0
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,19.0
2018-01-06,0.0
2018-01-07,0.0
2018-01-08,19.0
2018-01-09,0.0
2018-01-10,19.0
2018-01-11,0.0
2018-01-12,19.0
2018-01-13,0.0
2018-01-14,0.0
2018-01-15,19.0
2018-01-16,18.0
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,0.0
2018-01-20,0.0
2018-01-21,0.0
2018-01-22,0.0
2018-01-23,0.0
2018-01-24,0.0
2018-01-25,0.0
2018-01-26,0.0
2018-01-27,0.0
2018-01-28,0.0
2018-01-29,18.0
2018-01-30,18.0
2018-01-31,0.0
2018-02-01,19.0
2018-02-02,0.0
2018-02-03,0.0
2018-02-04,0.0
2018-02-05,19.0
2018-02-06,0.0
2018-02-07,0.0
2018-02-08,0.0
2018-02-09,0.0
2018-02-10,0.0
2018-02-11,0.0
2018-02-12,0.0
2018-02-13,0.0
2018-02-14,37.0
2018-02-15,0.0
2018-02-16,0.0
2018-02-17,0.0
2018-02-18,0.0
2018-02-19,0.0
2018-02-20,0.0
2018-02-21,0.0
2018-02-22,0.0
2018-02-23,58.0
2018-02-24,0.0
2018-02-25,0.0
2018-02-26,0.0
2018-02-27,18.0
2018-02-28,0.0
2018-03-01,0.0
2018-03-02,19.0
2018-03-03,0.0
2018-03-04,0.0
2018-03-05,18.0
2018-03-06,0.0
2018-03-07,18.0
2018-03-08,0.0
2018-03-09,0.0
2018-03-10,0.0
2018-03-11,0.0
2018-03-12,18.0
2018-03-13,18.0
2018-03-14,18.0
2018-03-15,0.0
2018-03-16,0.0
2018-03-17,0.0
2018-03-18,0.0
2018-03-19,18.0
2018-03-20,18.0
2018-03-21,18.0
2018-03-22,0.0
2018-03-23,0.0
2018-03-24,0.0
2018-03-25,0.0
2018-03-26,18.0
