date,Intuit inc,isPartial
2012-06-04,0,False
2012-06-05,73,False
2012-06-06,48,False
2012-06-07,25,False
2012-06-08,26,False
2012-06-09,0,False
2012-06-10,0,False
2012-06-11,0,False
2012-06-12,0,False
2012-06-13,0,False
2012-06-14,0,False
2012-06-15,52,False
2012-06-16,0,False
2012-06-17,0,False
2012-06-18,24,False
2012-06-19,0,False
2012-06-20,49,False
2012-06-21,50,False
2012-06-22,26,False
2012-06-23,0,False
2012-06-24,0,False
2012-06-25,0,False
2012-06-26,0,False
2012-06-27,25,False
2012-06-28,25,False
2012-06-29,0,False
2012-06-30,0,False
2012-07-01,0,False
2012-07-02,25,False
2012-07-03,0,False
2012-07-04,0,False
2012-07-05,26,False
2012-07-06,0,False
2012-07-07,0,False
2012-07-08,0,False
2012-07-09,0,False
2012-07-10,25,False
2012-07-11,25,False
2012-07-12,0,False
2012-07-13,26,False
2012-07-14,0,False
2012-07-15,0,False
2012-07-16,99,False
2012-07-17,0,False
2012-07-18,0,False
2012-07-19,0,False
2012-07-20,0,False
2012-07-21,0,False
2012-07-22,31,False
2012-07-23,100,False
2012-07-24,0,False
2012-07-25,0,False
2012-07-26,0,False
2012-07-27,26,False
2012-07-28,0,False
2012-07-29,0,False
2012-07-30,0,False
2012-07-31,0,False
2012-08-01,0,False
2012-08-02,25,False
2012-08-03,0,False
2012-08-04,31,False
2012-08-05,0,False
2012-08-06,25,False
2012-08-07,0,False
2012-08-08,0,False
2012-08-09,0,False
2012-08-10,0,False
2012-08-11,0,False
2012-08-12,31,False
2012-08-13,0,False
2012-08-14,0,False
2012-08-15,0,False
2012-08-16,0,False
2012-08-17,0,False
2012-08-18,31,False
2012-08-19,0,False
2012-08-20,0,False
2012-08-21,0,False
2012-08-22,0,False
2012-08-23,0,False
2012-08-24,0,False
2012-08-25,0,False
2012-08-26,0,False
2012-08-27,0,False
2012-08-28,0,False
2012-08-29,0,False
2012-08-30,0,False
2012-08-31,0,False
2012-09-01,0,False
2012-09-02,0,False
2012-09-03,0,False
2012-09-04,24,False
2012-09-05,24,False
2012-09-06,25,False
2012-09-07,26,False
2012-09-08,0,False
2012-09-09,0,False
2012-09-10,71,False
2012-09-11,47,False
2012-09-12,24,False
2012-09-13,24,False
2012-09-14,0,False
2012-09-15,0,False
2012-09-16,0,False
2012-09-17,0,False
2012-09-18,23,False
2012-09-19,0,False
2012-09-20,0,False
2012-09-21,0,False
2012-09-22,0,False
2012-09-23,0,False
2012-09-24,23,False
2012-09-25,0,False
2012-09-26,23,False
2012-09-27,48,False
2012-09-28,0,False
2012-09-29,0,False
2012-09-30,0,False
2012-10-01,23,False
2012-10-02,23,False
2012-10-03,24,False
2012-10-04,0,False
2012-10-05,0,False
2012-10-06,0,False
2012-10-07,0,False
2012-10-08,23,False
2012-10-09,22,False
2012-10-10,23,False
2012-10-11,0,False
2012-10-12,96,False
2012-10-13,28,False
2012-10-14,53,False
2012-10-15,45,False
2012-10-16,45,False
2012-10-17,0,False
2012-10-18,46,False
2012-10-19,0,False
2012-10-20,0,False
2012-10-21,0,False
2012-10-22,22,False
2012-10-23,22,False
2012-10-24,45,False
2012-10-25,23,False
2012-10-26,24,False
2012-10-27,0,False
2012-10-28,0,False
2012-10-29,0,False
2012-10-30,0,False
2012-10-31,0,False
2012-11-01,24,False
2012-11-02,24,False
2012-11-03,0,False
