date,CDNS stock
2015-08-18,0
2015-08-19,0
2015-08-20,51
2015-08-21,26
2015-08-22,0
2015-08-23,0
2015-08-24,25
2015-08-25,49
2015-08-26,0
2015-08-27,50
2015-08-28,26
2015-08-29,0
2015-08-30,0
2015-08-31,24
2015-09-01,24
2015-09-02,0
2015-09-03,25
2015-09-04,0
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,0
2015-09-09,24
2015-09-10,25
2015-09-11,51
2015-09-12,28
2015-09-13,0
2015-09-14,0
2015-09-15,48
2015-09-16,96
2015-09-17,0
2015-09-18,25
2015-09-19,28
2015-09-20,0
2015-09-21,24
2015-09-22,0
2015-09-23,0
2015-09-24,0
2015-09-25,0
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,0
2015-09-30,0
2015-10-01,48
2015-10-02,0
2015-10-03,0
2015-10-04,0
2015-10-05,24
2015-10-06,24
2015-10-07,0
2015-10-08,0
2015-10-09,0
2015-10-10,0
2015-10-11,0
2015-10-12,24
2015-10-13,47
2015-10-14,0
2015-10-15,24
2015-10-16,25
2015-10-17,0
2015-10-18,0
2015-10-19,0
2015-10-20,0
2015-10-21,0
2015-10-22,0
2015-10-23,0
2015-10-24,0
2015-10-25,0
2015-10-26,47
2015-10-27,23
2015-10-28,0
2015-10-29,24
2015-10-30,0
2015-10-31,0
2015-11-01,28
2015-11-02,0
2015-11-03,0
2015-11-04,0
2015-11-05,23
2015-11-06,98
2015-11-07,0
2015-11-08,0
2015-11-09,0
2015-11-10,0
2015-11-11,0
2015-11-12,0
2015-11-13,0
2015-11-14,0
2015-11-15,0
2015-11-16,46
2015-11-17,23
2015-11-18,0
2015-11-19,23
2015-11-20,24
2015-11-21,0
2015-11-22,27
2015-11-23,0
2015-11-24,46
2015-11-25,24
2015-11-26,0
2015-11-27,0
2015-11-28,0
2015-11-29,0
2015-11-30,0
2015-12-01,0
2015-12-02,0
2015-12-03,0
2015-12-04,24
2015-12-05,28
2015-12-06,0
2015-12-07,0
2015-12-08,23
2015-12-09,0
2015-12-10,0
2015-12-11,0
2015-12-12,0
2015-12-13,27
2015-12-14,0
2015-12-15,0
2015-12-16,0
2015-12-17,0
2015-12-18,26
2015-12-19,0
2015-12-20,0
2015-12-21,25
2015-12-22,26
2015-12-23,27
2015-12-24,0
2015-12-25,0
2015-12-26,0
2015-12-27,0
2015-12-28,25
2015-12-29,0
2015-12-30,0
2015-12-31,0
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,0
2016-01-05,25
2016-01-06,0
2016-01-07,76
2016-01-08,26
2016-01-09,0
2016-01-10,0
2016-01-11,24
2016-01-12,49
2016-01-13,0
2016-01-14,25
2016-01-15,0
2016-01-16,58
2016-01-17,0
2016-01-18,50
2016-01-19,25
2016-01-20,25
2016-01-21,25
2016-01-22,0
2016-01-23,0
2016-01-24,0
2016-01-25,49
2016-01-26,0
2016-01-27,0
2016-01-28,0
2016-01-29,0
2016-01-30,29
2016-01-31,0
2016-02-01,0
2016-02-02,74
2016-02-03,0
2016-02-04,100
2016-02-05,0
2016-02-06,0
2016-02-07,0
2016-02-08,0
2016-02-09,50
2016-02-10,0
2016-02-11,0
2016-02-12,0
2016-02-13,0
2016-02-14,0
2016-02-15,0
2016-02-16,24
2016-02-17,24
2016-02-18,0
2016-02-19,25
2016-02-20,0
2016-02-21,28
2016-02-22,0
2016-02-23,24
2016-02-24,0
2016-02-25,0
2016-02-26,51
2016-02-27,0
2016-02-28,0
2016-02-29,24
2016-03-01,0
2016-03-02,24
2016-03-03,24
2016-03-04,25
2016-03-05,0
2016-03-06,0
2016-03-07,24
2016-03-08,73
2016-03-09,0
2016-03-10,0
2016-03-11,26
2016-03-12,0
2016-03-13,0
2016-03-14,24
2016-03-15,72
2016-03-16,73
2016-03-17,0
2016-03-18,0
2016-03-19,28
2016-03-20,0
2016-03-21,25
2016-03-22,25
2016-03-23,76
2016-03-24,26
2016-03-25,55
2016-03-26,0
2016-03-27,0
2016-03-28,51
2016-03-29,0
2016-03-30,49
2016-03-31,50
2016-04-01,0
2016-04-02,0
2016-04-03,0
2016-04-04,0
2016-04-05,24
2016-04-06,49
2016-04-07,0
2016-04-08,0
2016-04-09,0
2016-04-10,0
2016-04-11,0
2016-04-12,24
2016-04-13,0
2016-04-14,25
2016-04-15,0
2016-04-16,0
2016-04-17,28
2016-04-18,0
2016-04-19,0
2016-04-20,0
2016-04-21,0
2016-04-22,0
2016-04-23,0
2016-04-24,0
2016-04-25,48
2016-04-26,72
2016-04-27,49
2016-04-28,0
2016-04-29,26
2016-04-30,0
2016-05-01,0
2016-05-02,0
2016-05-03,24
2016-05-04,0
