date,VOD stock
2016-05-04,0
2016-05-05,19
2016-05-06,0
2016-05-07,0
2016-05-08,0
2016-05-09,19
2016-05-10,18
2016-05-11,0
2016-05-12,38
2016-05-13,39
2016-05-14,0
2016-05-15,0
2016-05-16,18
2016-05-17,0
2016-05-18,18
2016-05-19,0
2016-05-20,39
2016-05-21,22
2016-05-22,0
2016-05-23,0
2016-05-24,0
2016-05-25,19
2016-05-26,20
2016-05-27,20
2016-05-28,0
2016-05-29,0
2016-05-30,19
2016-05-31,19
2016-06-01,38
2016-06-02,0
2016-06-03,20
2016-06-04,0
2016-06-05,0
2016-06-06,19
2016-06-07,37
2016-06-08,38
2016-06-09,57
2016-06-10,20
2016-06-11,0
2016-06-12,0
2016-06-13,37
2016-06-14,19
2016-06-15,19
2016-06-16,0
2016-06-17,0
2016-06-18,0
2016-06-19,0
2016-06-20,0
2016-06-21,19
2016-06-22,19
2016-06-23,0
2016-06-24,100
2016-06-25,0
2016-06-26,0
2016-06-27,56
2016-06-28,57
2016-06-29,96
2016-06-30,58
2016-07-01,0
2016-07-02,0
2016-07-03,0
2016-07-04,0
2016-07-05,0
2016-07-06,41
2016-07-07,21
2016-07-08,0
2016-07-09,0
2016-07-10,0
2016-07-11,40
2016-07-12,20
2016-07-13,40
2016-07-14,19
2016-07-15,0
2016-07-16,0
2016-07-17,0
2016-07-18,40
2016-07-19,0
2016-07-20,61
2016-07-21,20
2016-07-22,81
2016-07-23,0
2016-07-24,24
2016-07-25,0
2016-07-26,0
2016-07-27,0
2016-07-28,20
2016-07-29,21
2016-07-30,0
2016-07-31,23
2016-08-01,40
2016-08-02,20
2016-08-03,0
2016-08-04,0
2016-08-05,0
2016-08-06,0
2016-08-07,0
2016-08-08,20
2016-08-09,20
2016-08-10,20
2016-08-11,21
2016-08-12,0
2016-08-13,0
2016-08-14,0
2016-08-15,22
2016-08-16,42
2016-08-17,21
2016-08-18,21
2016-08-19,0
2016-08-20,24
2016-08-21,0
2016-08-22,21
2016-08-23,21
2016-08-24,21
2016-08-25,0
2016-08-26,0
2016-08-27,0
2016-08-28,0
2016-08-29,0
2016-08-30,19
2016-08-31,0
2016-09-01,20
2016-09-02,0
2016-09-03,23
2016-09-04,0
2016-09-05,20
2016-09-06,19
2016-09-07,39
2016-09-08,39
2016-09-09,61
2016-09-10,0
2016-09-11,0
2016-09-12,0
2016-09-13,19
2016-09-14,19
2016-09-15,0
2016-09-16,20
2016-09-17,22
2016-09-18,0
2016-09-19,38
2016-09-20,38
2016-09-21,0
2016-09-22,19
2016-09-23,0
2016-09-24,0
2016-09-25,0
2016-09-26,19
2016-09-27,19
2016-09-28,38
2016-09-29,0
2016-09-30,40
2016-10-01,0
2016-10-02,0
2016-10-03,0
2016-10-04,19
2016-10-05,19
2016-10-06,19
2016-10-07,39
2016-10-08,0
2016-10-09,0
2016-10-10,0
2016-10-11,0
2016-10-12,19
2016-10-13,19
2016-10-14,20
2016-10-15,0
2016-10-16,0
2016-10-17,19
2016-10-18,0
2016-10-19,19
2016-10-20,19
2016-10-21,0
2016-10-22,22
2016-10-23,0
2016-10-24,0
2016-10-25,38
2016-10-26,0
2016-10-27,0
2016-10-28,0
2016-10-29,0
2016-10-30,0
2016-10-31,0
2016-11-01,0
2016-11-02,19
2016-11-03,19
2016-11-04,20
2016-11-05,0
2016-11-06,21
2016-11-07,18
2016-11-08,0
2016-11-09,17
2016-11-10,19
2016-11-11,59
2016-11-12,22
2016-11-13,0
2016-11-14,0
2016-11-15,19
2016-11-16,0
2016-11-17,19
2016-11-18,19
2016-11-19,21
2016-11-20,0
2016-11-21,55
2016-11-22,36
2016-11-23,55
2016-11-24,0
2016-11-25,39
2016-11-26,0
2016-11-27,0
2016-11-28,0
2016-11-29,18
2016-11-30,53
2016-12-01,18
2016-12-02,38
2016-12-03,0
2016-12-04,0
2016-12-05,33
2016-12-06,52
2016-12-07,36
2016-12-08,18
2016-12-09,0
2016-12-10,21
2016-12-11,0
2016-12-12,18
2016-12-13,0
2016-12-14,36
2016-12-15,37
2016-12-16,58
2016-12-17,0
2016-12-18,0
2016-12-19,0
2016-12-20,76
2016-12-21,38
2016-12-22,78
2016-12-23,0
2016-12-24,23
2016-12-25,0
2016-12-26,0
2016-12-27,0
2016-12-28,39
2016-12-29,39
2016-12-30,82
2016-12-31,0
2017-01-01,0
2017-01-02,0
2017-01-03,18
2017-01-04,55
2017-01-05,18
2017-01-06,19
2017-01-07,20
2017-01-08,0
2017-01-09,35
2017-01-10,18
2017-01-11,18
2017-01-12,18
2017-01-13,18
2017-01-14,20
2017-01-15,0
2017-01-16,18
2017-01-17,70
2017-01-18,35
2017-01-19,35
