date,value
2017-10-20,0.0
2017-10-21,0.0
2017-10-22,22.0
2017-10-23,59.0
2017-10-24,20.0
2017-10-25,20.0
2017-10-26,20.0
2017-10-27,84.0
2017-10-28,23.0
2017-10-29,0.0
2017-10-30,20.0
2017-10-31,20.0
2017-11-01,0.0
2017-11-02,20.0
2017-11-03,20.0
2017-11-04,0.0
2017-11-05,0.0
2017-11-06,19.0
2017-11-07,0.0
2017-11-08,0.0
2017-11-09,39.0
2017-11-10,41.0
2017-11-11,0.0
2017-11-12,44.0
2017-11-13,0.0
2017-11-14,19.0
2017-11-15,0.0
2017-11-16,20.0
2017-11-17,20.0
2017-11-18,0.0
2017-11-19,0.0
2017-11-20,0.0
2017-11-21,0.0
2017-11-22,79.0
2017-11-23,0.0
2017-11-24,20.0
2017-11-25,0.0
2017-11-26,22.0
2017-11-27,0.0
2017-11-28,39.0
2017-11-29,39.0
2017-11-30,0.0
2017-12-01,0.0
2017-12-02,0.0
2017-12-03,0.0
2017-12-04,19.0
2017-12-05,0.0
2017-12-06,20.0
2017-12-07,0.0
2017-12-08,0.0
2017-12-09,0.0
2017-12-10,22.0
2017-12-11,19.0
2017-12-12,19.0
2017-12-13,0.0
2017-12-14,20.0
2017-12-15,0.0
2017-12-16,0.0
2017-12-17,0.0
2017-12-18,20.0
2017-12-19,20.0
2017-12-20,0.0
2017-12-21,64.0
2017-12-22,22.0
2017-12-23,24.0
2017-12-24,0.0
2017-12-25,0.0
2017-12-26,0.0
2017-12-27,42.0
2017-12-28,0.0
2017-12-29,0.0
2017-12-30,0.0
2017-12-31,24.0
2018-01-01,0.0
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,20.0
2018-01-06,0.0
2018-01-07,0.0
2018-01-08,0.0
2018-01-09,38.0
2018-01-10,19.0
2018-01-11,58.0
2018-01-12,20.0
2018-01-13,22.0
2018-01-14,22.0
2018-01-15,0.0
2018-01-16,19.0
2018-01-17,56.0
2018-01-18,19.0
2018-01-19,20.0
2018-01-20,0.0
2018-01-21,0.0
2018-01-22,37.0
2018-01-23,19.0
2018-01-24,0.0
2018-01-25,0.0
2018-01-26,39.0
2018-01-27,0.0
2018-01-28,43.0
2018-01-29,0.0
2018-01-30,0.0
2018-01-31,37.0
2018-02-01,19.0
2018-02-02,39.0
2018-02-03,0.0
2018-02-04,0.0
2018-02-05,19.0
2018-02-06,56.0
2018-02-07,0.0
2018-02-08,38.0
2018-02-09,79.0
2018-02-10,0.0
2018-02-11,0.0
2018-02-12,0.0
2018-02-13,19.0
2018-02-14,0.0
2018-02-15,0.0
2018-02-16,20.0
2018-02-17,0.0
2018-02-18,0.0
2018-02-19,19.0
2018-02-20,0.0
2018-02-21,56.0
2018-02-22,0.0
2018-02-23,19.0
2018-02-24,0.0
2018-02-25,21.0
2018-02-26,19.0
2018-02-27,18.0
2018-02-28,18.0
2018-03-01,19.0
2018-03-02,19.0
2018-03-03,0.0
2018-03-04,0.0
2018-03-05,36.0
2018-03-06,55.0
2018-03-07,38.0
2018-03-08,19.0
2018-03-09,20.0
2018-03-10,21.0
2018-03-11,0.0
2018-03-12,0.0
2018-03-13,19.0
2018-03-14,37.0
2018-03-15,19.0
2018-03-16,0.0
2018-03-17,0.0
2018-03-18,0.0
2018-03-19,94.0
2018-03-20,74.0
2018-03-21,19.0
2018-03-22,57.0
2018-03-23,59.0
2018-03-24,0.0
2018-03-25,0.0
2018-03-26,0.0
2018-03-27,0.0
2018-03-28,0.0
2018-03-29,40.0
2018-03-30,0.0
2018-03-31,0.0
2018-04-01,22.0
2018-04-02,0.0
2018-04-03,37.0
2018-04-04,37.0
2018-04-05,58.0
2018-04-06,0.0
2018-04-07,43.0
2018-04-08,65.0
2018-04-09,19.0
2018-04-10,0.0
2018-04-11,19.0
