date,AMAT stock
2012-10-12,0
2012-10-13,0
2012-10-14,0
2012-10-15,21
2012-10-16,0
2012-10-17,0
2012-10-18,0
2012-10-19,23
2012-10-20,0
2012-10-21,0
2012-10-22,22
2012-10-23,0
2012-10-24,0
2012-10-25,0
2012-10-26,0
2012-10-27,0
2012-10-28,0
2012-10-29,0
2012-10-30,0
2012-10-31,22
2012-11-01,23
2012-11-02,0
2012-11-03,0
2012-11-04,0
2012-11-05,0
2012-11-06,0
2012-11-07,0
2012-11-08,0
2012-11-09,0
2012-11-10,0
2012-11-11,0
2012-11-12,21
2012-11-13,0
2012-11-14,0
2012-11-15,0
2012-11-16,45
2012-11-17,25
2012-11-18,0
2012-11-19,0
2012-11-20,0
2012-11-21,0
2012-11-22,0
2012-11-23,0
2012-11-24,0
2012-11-25,0
2012-11-26,21
2012-11-27,0
2012-11-28,0
2012-11-29,21
2012-11-30,0
2012-12-01,0
2012-12-02,0
2012-12-03,21
2012-12-04,0
2012-12-05,42
2012-12-06,22
2012-12-07,44
2012-12-08,0
2012-12-09,0
2012-12-10,0
2012-12-11,21
2012-12-12,0
2012-12-13,21
2012-12-14,22
2012-12-15,0
2012-12-16,0
2012-12-17,0
2012-12-18,21
2012-12-19,22
2012-12-20,0
2012-12-21,69
2012-12-22,0
2012-12-23,27
2012-12-24,26
2012-12-25,0
2012-12-26,0
2012-12-27,0
2012-12-28,23
2012-12-29,0
2012-12-30,0
2012-12-31,0
2013-01-01,0
2013-01-02,22
2013-01-03,0
2013-01-04,22
2013-01-05,0
2013-01-06,0
2013-01-07,0
2013-01-08,0
2013-01-09,0
2013-01-10,21
2013-01-11,0
2013-01-12,0
2013-01-13,0
2013-01-14,0
2013-01-15,0
2013-01-16,0
2013-01-17,0
2013-01-18,0
2013-01-19,0
2013-01-20,0
2013-01-21,0
2013-01-22,0
2013-01-23,20
2013-01-24,41
2013-01-25,42
2013-01-26,0
2013-01-27,0
2013-01-28,0
2013-01-29,0
2013-01-30,20
2013-01-31,0
2013-02-01,21
2013-02-02,24
2013-02-03,0
2013-02-04,20
2013-02-05,20
2013-02-06,20
2013-02-07,40
2013-02-08,0
2013-02-09,0
2013-02-10,24
2013-02-11,40
2013-02-12,41
2013-02-13,100
2013-02-14,21
2013-02-15,0
2013-02-16,0
2013-02-17,0
2013-02-18,0
2013-02-19,0
2013-02-20,20
2013-02-21,0
2013-02-22,21
2013-02-23,23
2013-02-24,0
2013-02-25,39
2013-02-26,0
2013-02-27,19
2013-02-28,20
2013-03-01,41
2013-03-02,0
2013-03-03,0
2013-03-04,0
2013-03-05,0
2013-03-06,0
2013-03-07,20
2013-03-08,20
2013-03-09,23
2013-03-10,0
2013-03-11,0
2013-03-12,38
2013-03-13,0
2013-03-14,0
2013-03-15,0
2013-03-16,0
2013-03-17,23
2013-03-18,0
2013-03-19,0
2013-03-20,19
2013-03-21,0
2013-03-22,0
2013-03-23,0
2013-03-24,0
2013-03-25,38
2013-03-26,19
2013-03-27,0
2013-03-28,41
2013-03-29,22
2013-03-30,24
2013-03-31,0
2013-04-01,0
2013-04-02,0
2013-04-03,38
2013-04-04,0
2013-04-05,0
2013-04-06,0
2013-04-07,0
2013-04-08,19
2013-04-09,0
2013-04-10,38
2013-04-11,39
2013-04-12,0
2013-04-13,0
2013-04-14,0
2013-04-15,19
2013-04-16,0
2013-04-17,19
2013-04-18,0
2013-04-19,20
2013-04-20,0
2013-04-21,0
2013-04-22,19
2013-04-23,19
2013-04-24,0
2013-04-25,20
2013-04-26,0
2013-04-27,0
2013-04-28,23
2013-04-29,0
2013-04-30,20
2013-05-01,21
2013-05-02,20
2013-05-03,20
2013-05-04,24
2013-05-05,24
2013-05-06,19
2013-05-07,19
2013-05-08,39
2013-05-09,0
2013-05-10,41
2013-05-11,0
2013-05-12,23
2013-05-13,19
2013-05-14,57
2013-05-15,38
2013-05-16,19
2013-05-17,40
2013-05-18,0
2013-05-19,23
2013-05-20,39
2013-05-21,19
2013-05-22,19
2013-05-23,19
2013-05-24,0
2013-05-25,0
2013-05-26,0
2013-05-27,0
2013-05-28,19
2013-05-29,0
2013-05-30,59
2013-05-31,20
2013-06-01,0
2013-06-02,0
2013-06-03,19
2013-06-04,0
2013-06-05,0
2013-06-06,0
2013-06-07,0
2013-06-08,0
2013-06-09,0
2013-06-10,0
2013-06-11,19
2013-06-12,19
2013-06-13,19
2013-06-14,0
2013-06-15,24
2013-06-16,23
2013-06-17,0
2013-06-18,19
2013-06-19,19
2013-06-20,0
2013-06-21,20
2013-06-22,0
2013-06-23,23
2013-06-24,57
2013-06-25,0
2013-06-26,19
2013-06-27,0
2013-06-28,0
2013-06-29,0
