date,NVDA stock
2012-06-04,68
2012-06-05,0
2012-06-06,46
2012-06-07,24
2012-06-08,0
2012-06-09,29
2012-06-10,0
2012-06-11,68
2012-06-12,23
2012-06-13,46
2012-06-14,0
2012-06-15,25
2012-06-16,0
2012-06-17,29
2012-06-18,69
2012-06-19,46
2012-06-20,0
2012-06-21,47
2012-06-22,24
2012-06-23,0
2012-06-24,0
2012-06-25,23
2012-06-26,46
2012-06-27,47
2012-06-28,47
2012-06-29,25
2012-06-30,29
2012-07-01,0
2012-07-02,47
2012-07-03,0
2012-07-04,0
2012-07-05,24
2012-07-06,49
2012-07-07,0
2012-07-08,0
2012-07-09,0
2012-07-10,46
2012-07-11,23
2012-07-12,47
2012-07-13,0
2012-07-14,0
2012-07-15,0
2012-07-16,0
2012-07-17,23
2012-07-18,23
2012-07-19,48
2012-07-20,25
2012-07-21,0
2012-07-22,29
2012-07-23,23
2012-07-24,0
2012-07-25,71
2012-07-26,48
2012-07-27,0
2012-07-28,0
2012-07-29,0
2012-07-30,0
2012-07-31,23
2012-08-01,47
2012-08-02,24
2012-08-03,0
2012-08-04,0
2012-08-05,0
2012-08-06,0
2012-08-07,47
2012-08-08,24
2012-08-09,0
2012-08-10,100
2012-08-11,0
2012-08-12,0
2012-08-13,47
2012-08-14,24
2012-08-15,24
2012-08-16,0
2012-08-17,25
2012-08-18,0
2012-08-19,0
2012-08-20,48
2012-08-21,24
2012-08-22,23
2012-08-23,0
2012-08-24,49
2012-08-25,0
2012-08-26,0
2012-08-27,46
2012-08-28,45
2012-08-29,0
2012-08-30,23
2012-08-31,24
2012-09-01,0
2012-09-02,0
2012-09-03,0
2012-09-04,22
2012-09-05,23
2012-09-06,46
2012-09-07,24
2012-09-08,0
2012-09-09,0
2012-09-10,22
2012-09-11,0
2012-09-12,0
2012-09-13,22
2012-09-14,47
2012-09-15,0
2012-09-16,0
2012-09-17,0
2012-09-18,22
2012-09-19,23
2012-09-20,0
2012-09-21,24
2012-09-22,0
2012-09-23,0
2012-09-24,0
2012-09-25,22
2012-09-26,22
2012-09-27,45
2012-09-28,23
2012-09-29,0
2012-09-30,0
2012-10-01,22
2012-10-02,22
2012-10-03,45
2012-10-04,0
2012-10-05,0
2012-10-06,27
2012-10-07,0
2012-10-08,21
2012-10-09,0
2012-10-10,86
2012-10-11,0
2012-10-12,0
2012-10-13,0
2012-10-14,0
2012-10-15,0
2012-10-16,85
2012-10-17,65
2012-10-18,22
2012-10-19,23
2012-10-20,0
2012-10-21,0
2012-10-22,21
2012-10-23,21
2012-10-24,0
2012-10-25,0
2012-10-26,0
2012-10-27,26
2012-10-28,0
2012-10-29,0
2012-10-30,0
2012-10-31,0
2012-11-01,22
2012-11-02,22
2012-11-03,0
2012-11-04,25
2012-11-05,0
2012-11-06,0
2012-11-07,0
2012-11-08,21
2012-11-09,45
2012-11-10,0
2012-11-11,0
2012-11-12,0
2012-11-13,42
2012-11-14,21
2012-11-15,43
2012-11-16,22
2012-11-17,0
2012-11-18,0
2012-11-19,21
2012-11-20,21
2012-11-21,42
2012-11-22,0
2012-11-23,22
2012-11-24,0
2012-11-25,24
2012-11-26,41
2012-11-27,41
2012-11-28,41
2012-11-29,21
2012-11-30,43
2012-12-01,25
2012-12-02,0
2012-12-03,61
2012-12-04,61
2012-12-05,21
2012-12-06,21
2012-12-07,65
2012-12-08,0
2012-12-09,0
2012-12-10,0
2012-12-11,0
2012-12-12,41
2012-12-13,21
2012-12-14,22
2012-12-15,24
2012-12-16,0
2012-12-17,0
2012-12-18,0
2012-12-19,42
2012-12-20,43
2012-12-21,46
2012-12-22,0
2012-12-23,0
2012-12-24,26
2012-12-25,55
2012-12-26,24
2012-12-27,0
2012-12-28,23
2012-12-29,0
2012-12-30,0
2012-12-31,0
2013-01-01,27
2013-01-02,21
2013-01-03,0
2013-01-04,43
2013-01-05,24
2013-01-06,23
2013-01-07,20
2013-01-08,40
2013-01-09,20
2013-01-10,40
2013-01-11,0
2013-01-12,24
2013-01-13,0
2013-01-14,0
2013-01-15,19
2013-01-16,0
2013-01-17,20
2013-01-18,20
2013-01-19,23
2013-01-20,0
2013-01-21,0
2013-01-22,19
2013-01-23,0
2013-01-24,0
2013-01-25,0
2013-01-26,23
2013-01-27,0
2013-01-28,19
2013-01-29,19
2013-01-30,19
2013-01-31,20
2013-02-01,21
2013-02-02,0
2013-02-03,0
2013-02-04,19
2013-02-05,19
2013-02-06,39
2013-02-07,60
2013-02-08,0
2013-02-09,23
2013-02-10,0
2013-02-11,0
2013-02-12,40
2013-02-13,39
2013-02-14,0
2013-02-15,20
2013-02-16,0
2013-02-17,0
2013-02-18,0
2013-02-19,19
