date,ATVI stock
2012-10-12,37
2012-10-13,0
2012-10-14,0
2012-10-15,17
2012-10-16,0
2012-10-17,0
2012-10-18,35
2012-10-19,0
2012-10-20,21
2012-10-21,0
2012-10-22,0
2012-10-23,0
2012-10-24,0
2012-10-25,18
2012-10-26,19
2012-10-27,0
2012-10-28,0
2012-10-29,0
2012-10-30,17
2012-10-31,53
2012-11-01,0
2012-11-02,0
2012-11-03,0
2012-11-04,0
2012-11-05,17
2012-11-06,17
2012-11-07,0
2012-11-08,35
2012-11-09,0
2012-11-10,0
2012-11-11,0
2012-11-12,17
2012-11-13,0
2012-11-14,17
2012-11-15,0
2012-11-16,18
2012-11-17,0
2012-11-18,0
2012-11-19,17
2012-11-20,17
2012-11-21,0
2012-11-22,36
2012-11-23,0
2012-11-24,0
2012-11-25,20
2012-11-26,0
2012-11-27,67
2012-11-28,17
2012-11-29,17
2012-11-30,0
2012-12-01,0
2012-12-02,0
2012-12-03,17
2012-12-04,0
2012-12-05,0
2012-12-06,17
2012-12-07,18
2012-12-08,0
2012-12-09,20
2012-12-10,0
2012-12-11,17
2012-12-12,0
2012-12-13,17
2012-12-14,35
2012-12-15,20
2012-12-16,0
2012-12-17,0
2012-12-18,0
2012-12-19,35
2012-12-20,0
2012-12-21,19
2012-12-22,0
2012-12-23,0
2012-12-24,0
2012-12-25,23
2012-12-26,0
2012-12-27,0
2012-12-28,19
2012-12-29,21
2012-12-30,0
2012-12-31,0
2013-01-01,0
2013-01-02,35
2013-01-03,17
2013-01-04,17
2013-01-05,0
2013-01-06,0
2013-01-07,16
2013-01-08,0
2013-01-09,0
2013-01-10,0
2013-01-11,17
2013-01-12,39
2013-01-13,0
2013-01-14,16
2013-01-15,0
2013-01-16,16
2013-01-17,32
2013-01-18,17
2013-01-19,0
2013-01-20,0
2013-01-21,0
2013-01-22,16
2013-01-23,0
2013-01-24,0
2013-01-25,0
2013-01-26,0
2013-01-27,0
2013-01-28,0
2013-01-29,0
2013-01-30,0
2013-01-31,16
2013-02-01,0
2013-02-02,0
2013-02-03,0
2013-02-04,0
2013-02-05,0
2013-02-06,16
2013-02-07,0
2013-02-08,100
2013-02-09,19
2013-02-10,19
2013-02-11,33
2013-02-12,33
2013-02-13,16
2013-02-14,16
2013-02-15,17
2013-02-16,0
2013-02-17,0
2013-02-18,0
2013-02-19,32
2013-02-20,0
2013-02-21,16
2013-02-22,33
2013-02-23,19
2013-02-24,0
2013-02-25,0
2013-02-26,16
2013-02-27,16
2013-02-28,47
2013-03-01,33
2013-03-02,0
2013-03-03,0
2013-03-04,0
2013-03-05,16
2013-03-06,0
2013-03-07,16
2013-03-08,16
2013-03-09,0
2013-03-10,0
2013-03-11,0
2013-03-12,0
2013-03-13,15
2013-03-14,0
2013-03-15,16
2013-03-16,0
2013-03-17,0
2013-03-18,0
2013-03-19,0
2013-03-20,16
2013-03-21,0
2013-03-22,16
2013-03-23,0
2013-03-24,0
2013-03-25,15
2013-03-26,31
2013-03-27,0
2013-03-28,0
2013-03-29,0
2013-03-30,0
2013-03-31,0
2013-04-01,0
2013-04-02,0
2013-04-03,15
2013-04-04,0
2013-04-05,16
2013-04-06,0
2013-04-07,0
2013-04-08,0
2013-04-09,0
2013-04-10,15
2013-04-11,0
2013-04-12,0
2013-04-13,0
2013-04-14,0
2013-04-15,31
2013-04-16,0
2013-04-17,0
2013-04-18,15
2013-04-19,16
2013-04-20,0
2013-04-21,0
2013-04-22,15
2013-04-23,15
2013-04-24,0
2013-04-25,32
2013-04-26,16
2013-04-27,19
2013-04-28,0
2013-04-29,15
2013-04-30,31
2013-05-01,0
2013-05-02,16
2013-05-03,33
2013-05-04,0
2013-05-05,0
2013-05-06,0
2013-05-07,62
2013-05-08,0
2013-05-09,32
2013-05-10,0
2013-05-11,37
2013-05-12,0
2013-05-13,0
2013-05-14,0
2013-05-15,15
2013-05-16,0
2013-05-17,0
2013-05-18,0
2013-05-19,19
2013-05-20,15
2013-05-21,15
2013-05-22,30
2013-05-23,16
2013-05-24,16
2013-05-25,0
2013-05-26,0
2013-05-27,0
2013-05-28,15
2013-05-29,0
2013-05-30,0
2013-05-31,16
2013-06-01,0
2013-06-02,0
2013-06-03,30
2013-06-04,0
2013-06-05,0
2013-06-06,31
2013-06-07,0
2013-06-08,0
2013-06-09,18
2013-06-10,15
2013-06-11,0
2013-06-12,0
2013-06-13,15
2013-06-14,0
2013-06-15,0
2013-06-16,0
2013-06-17,15
2013-06-18,0
2013-06-19,15
2013-06-20,0
2013-06-21,0
2013-06-22,19
2013-06-23,0
2013-06-24,31
2013-06-25,30
2013-06-26,15
2013-06-27,0
2013-06-28,0
2013-06-29,0
