date,TTWO stock
2016-05-04,17
2016-05-05,34
2016-05-06,17
2016-05-07,0
2016-05-08,0
2016-05-09,0
2016-05-10,33
2016-05-11,16
2016-05-12,0
2016-05-13,52
2016-05-14,0
2016-05-15,38
2016-05-16,0
2016-05-17,16
2016-05-18,16
2016-05-19,66
2016-05-20,0
2016-05-21,0
2016-05-22,0
2016-05-23,33
2016-05-24,0
2016-05-25,17
2016-05-26,17
2016-05-27,0
2016-05-28,0
2016-05-29,0
2016-05-30,17
2016-05-31,0
2016-06-01,34
2016-06-02,0
2016-06-03,18
2016-06-04,0
2016-06-05,0
2016-06-06,0
2016-06-07,17
2016-06-08,0
2016-06-09,0
2016-06-10,0
2016-06-11,0
2016-06-12,0
2016-06-13,0
2016-06-14,0
2016-06-15,0
2016-06-16,0
2016-06-17,0
2016-06-18,0
2016-06-19,0
2016-06-20,0
2016-06-21,0
2016-06-22,17
2016-06-23,17
2016-06-24,0
2016-06-25,0
2016-06-26,0
2016-06-27,51
2016-06-28,0
2016-06-29,0
2016-06-30,17
2016-07-01,0
2016-07-02,0
2016-07-03,0
2016-07-04,0
2016-07-05,0
2016-07-06,0
2016-07-07,0
2016-07-08,19
2016-07-09,21
2016-07-10,0
2016-07-11,18
2016-07-12,35
2016-07-13,18
2016-07-14,17
2016-07-15,0
2016-07-16,0
2016-07-17,0
2016-07-18,0
2016-07-19,18
2016-07-20,18
2016-07-21,18
2016-07-22,0
2016-07-23,0
2016-07-24,0
2016-07-25,0
2016-07-26,0
2016-07-27,0
2016-07-28,18
2016-07-29,19
2016-07-30,0
2016-07-31,0
2016-08-01,0
2016-08-02,0
2016-08-03,0
2016-08-04,18
2016-08-05,0
2016-08-06,0
2016-08-07,0
2016-08-08,0
2016-08-09,18
2016-08-10,0
2016-08-11,19
2016-08-12,0
2016-08-13,0
2016-08-14,0
2016-08-15,0
2016-08-16,19
2016-08-17,0
2016-08-18,38
2016-08-19,19
2016-08-20,0
2016-08-21,21
2016-08-22,0
2016-08-23,0
2016-08-24,0
2016-08-25,18
2016-08-26,0
2016-08-27,0
2016-08-28,0
2016-08-29,17
2016-08-30,17
2016-08-31,0
2016-09-01,0
2016-09-02,18
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,0
2016-09-07,0
2016-09-08,0
2016-09-09,0
2016-09-10,0
2016-09-11,0
2016-09-12,35
2016-09-13,17
2016-09-14,17
2016-09-15,0
2016-09-16,0
2016-09-17,0
2016-09-18,0
2016-09-19,0
2016-09-20,17
2016-09-21,34
2016-09-22,17
2016-09-23,0
2016-09-24,0
2016-09-25,20
2016-09-26,0
2016-09-27,17
2016-09-28,17
2016-09-29,17
2016-09-30,36
2016-10-01,0
2016-10-02,0
2016-10-03,0
2016-10-04,0
2016-10-05,0
2016-10-06,0
2016-10-07,18
2016-10-08,0
2016-10-09,0
2016-10-10,34
2016-10-11,0
2016-10-12,17
2016-10-13,0
2016-10-14,0
2016-10-15,0
2016-10-16,38
2016-10-17,66
2016-10-18,100
2016-10-19,17
2016-10-20,34
2016-10-21,18
2016-10-22,0
2016-10-23,0
2016-10-24,17
2016-10-25,17
2016-10-26,0
2016-10-27,17
2016-10-28,18
2016-10-29,0
2016-10-30,19
2016-10-31,0
2016-11-01,0
2016-11-02,51
2016-11-03,0
2016-11-04,35
2016-11-05,19
2016-11-06,0
2016-11-07,33
2016-11-08,16
2016-11-09,15
2016-11-10,17
2016-11-11,17
2016-11-12,19
2016-11-13,0
2016-11-14,0
2016-11-15,0
2016-11-16,0
2016-11-17,0
2016-11-18,18
2016-11-19,0
2016-11-20,0
2016-11-21,16
2016-11-22,33
2016-11-23,0
2016-11-24,34
2016-11-25,0
2016-11-26,0
2016-11-27,0
2016-11-28,16
2016-11-29,32
2016-11-30,0
2016-12-01,0
2016-12-02,0
2016-12-03,0
2016-12-04,0
2016-12-05,0
2016-12-06,0
2016-12-07,0
2016-12-08,16
2016-12-09,34
2016-12-10,0
2016-12-11,0
2016-12-12,0
2016-12-13,0
2016-12-14,0
2016-12-15,17
2016-12-16,0
2016-12-17,0
2016-12-18,0
2016-12-19,49
2016-12-20,0
2016-12-21,17
2016-12-22,0
2016-12-23,0
2016-12-24,20
2016-12-25,0
2016-12-26,0
2016-12-27,34
2016-12-28,17
2016-12-29,0
2016-12-30,0
2016-12-31,0
2017-01-01,20
2017-01-02,0
2017-01-03,16
2017-01-04,32
2017-01-05,16
2017-01-06,17
2017-01-07,0
2017-01-08,0
2017-01-09,16
2017-01-10,31
2017-01-11,31
2017-01-12,0
2017-01-13,32
2017-01-14,0
2017-01-15,0
2017-01-16,0
2017-01-17,0
2017-01-18,30
2017-01-19,0
