date,FISV stock
2017-10-06,0
2017-10-07,0
2017-10-08,0
2017-10-09,0
2017-10-10,25
2017-10-11,0
2017-10-12,26
2017-10-13,0
2017-10-14,0
2017-10-15,0
2017-10-16,26
2017-10-17,0
2017-10-18,0
2017-10-19,0
2017-10-20,27
2017-10-21,0
2017-10-22,0
2017-10-23,26
2017-10-24,76
2017-10-25,0
2017-10-26,0
2017-10-27,53
2017-10-28,0
2017-10-29,0
2017-10-30,26
2017-10-31,0
2017-11-01,26
2017-11-02,0
2017-11-03,0
2017-11-04,0
2017-11-05,0
2017-11-06,25
2017-11-07,25
2017-11-08,0
2017-11-09,0
2017-11-10,0
2017-11-11,0
2017-11-12,0
2017-11-13,0
2017-11-14,0
2017-11-15,0
2017-11-16,0
2017-11-17,26
2017-11-18,0
2017-11-19,0
2017-11-20,100
2017-11-21,0
2017-11-22,25
2017-11-23,0
2017-11-24,0
2017-11-25,0
2017-11-26,28
2017-11-27,0
2017-11-28,50
2017-11-29,0
2017-11-30,25
2017-12-01,26
2017-12-02,0
2017-12-03,0
2017-12-04,0
2017-12-05,0
2017-12-06,0
2017-12-07,26
2017-12-08,0
2017-12-09,0
2017-12-10,0
2017-12-11,24
2017-12-12,0
2017-12-13,0
2017-12-14,52
2017-12-15,0
2017-12-16,0
2017-12-17,0
2017-12-18,26
2017-12-19,26
2017-12-20,0
2017-12-21,0
2017-12-22,0
2017-12-23,0
2017-12-24,0
2017-12-25,0
2017-12-26,0
2017-12-27,27
2017-12-28,0
2017-12-29,28
2017-12-30,0
2017-12-31,0
2018-01-01,0
2018-01-02,0
2018-01-03,0
2018-01-04,25
2018-01-05,77
2018-01-06,28
2018-01-07,0
2018-01-08,0
2018-01-09,0
2018-01-10,25
2018-01-11,25
2018-01-12,0
2018-01-13,28
2018-01-14,0
2018-01-15,0
2018-01-16,25
2018-01-17,72
2018-01-18,73
2018-01-19,0
2018-01-20,0
2018-01-21,0
2018-01-22,24
2018-01-23,0
2018-01-24,0
2018-01-25,0
2018-01-26,25
2018-01-27,0
2018-01-28,28
2018-01-29,0
2018-01-30,24
2018-01-31,0
2018-02-01,0
2018-02-02,0
2018-02-03,0
2018-02-04,0
2018-02-05,0
2018-02-06,24
2018-02-07,0
2018-02-08,98
2018-02-09,51
2018-02-10,0
2018-02-11,0
2018-02-12,0
2018-02-13,0
2018-02-14,99
2018-02-15,25
2018-02-16,0
2018-02-17,0
2018-02-18,0
2018-02-19,49
2018-02-20,24
2018-02-21,24
2018-02-22,73
2018-02-23,50
2018-02-24,0
2018-02-25,0
2018-02-26,96
2018-02-27,24
2018-02-28,48
2018-03-01,24
2018-03-02,50
2018-03-03,0
2018-03-04,0
2018-03-05,0
2018-03-06,0
2018-03-07,24
2018-03-08,73
2018-03-09,0
2018-03-10,28
2018-03-11,0
2018-03-12,24
2018-03-13,0
2018-03-14,0
2018-03-15,24
2018-03-16,0
2018-03-17,0
2018-03-18,27
2018-03-19,73
2018-03-20,96
2018-03-21,0
2018-03-22,24
2018-03-23,76
2018-03-24,0
2018-03-25,0
2018-03-26,24
2018-03-27,0
2018-03-28,25
2018-03-29,0
2018-03-30,0
2018-03-31,0
2018-04-01,0
2018-04-02,26
2018-04-03,0
2018-04-04,73
2018-04-05,75
2018-04-06,0
2018-04-07,0
2018-04-08,0
2018-04-09,24
