date,Shire PLC,isPartial
2012-01-26,33,False
2012-01-27,34,False
2012-01-28,0,False
2012-01-29,0,False
2012-01-30,32,False
2012-01-31,0,False
2012-02-01,0,False
2012-02-02,0,False
2012-02-03,0,False
2012-02-04,39,False
2012-02-05,0,False
2012-02-06,0,False
2012-02-07,0,False
2012-02-08,0,False
2012-02-09,0,False
2012-02-10,0,False
2012-02-11,0,False
2012-02-12,0,False
2012-02-13,0,False
2012-02-14,32,False
2012-02-15,65,False
2012-02-16,66,False
2012-02-17,0,False
2012-02-18,0,False
2012-02-19,0,False
2012-02-20,0,False
2012-02-21,0,False
2012-02-22,0,False
2012-02-23,32,False
2012-02-24,0,False
2012-02-25,39,False
2012-02-26,0,False
2012-02-27,0,False
2012-02-28,0,False
2012-02-29,0,False
2012-03-01,67,False
2012-03-02,0,False
2012-03-03,0,False
2012-03-04,0,False
2012-03-05,33,False
2012-03-06,0,False
2012-03-07,64,False
2012-03-08,0,False
2012-03-09,34,False
2012-03-10,0,False
2012-03-11,38,False
2012-03-12,32,False
2012-03-13,32,False
2012-03-14,32,False
2012-03-15,0,False
2012-03-16,34,False
2012-03-17,39,False
2012-03-18,38,False
2012-03-19,0,False
2012-03-20,32,False
2012-03-21,32,False
2012-03-22,33,False
2012-03-23,0,False
2012-03-24,0,False
2012-03-25,0,False
2012-03-26,0,False
2012-03-27,32,False
2012-03-28,0,False
2012-03-29,33,False
2012-03-30,70,False
2012-03-31,0,False
2012-04-01,39,False
2012-04-02,0,False
2012-04-03,0,False
2012-04-04,33,False
2012-04-05,0,False
2012-04-06,0,False
2012-04-07,0,False
2012-04-08,42,False
2012-04-09,0,False
2012-04-10,0,False
2012-04-11,32,False
2012-04-12,0,False
2012-04-13,34,False
2012-04-14,39,False
2012-04-15,0,False
2012-04-16,0,False
2012-04-17,0,False
2012-04-18,0,False
2012-04-19,33,False
2012-04-20,34,False
2012-04-21,0,False
2012-04-22,0,False
2012-04-23,63,False
2012-04-24,94,False
2012-04-25,32,False
2012-04-26,0,False
2012-04-27,34,False
2012-04-28,0,False
2012-04-29,0,False
2012-04-30,0,False
2012-05-01,0,False
2012-05-02,65,False
2012-05-03,0,False
2012-05-04,0,False
2012-05-05,0,False
2012-05-06,38,False
2012-05-07,32,False
2012-05-08,0,False
2012-05-09,32,False
2012-05-10,32,False
2012-05-11,0,False
2012-05-12,0,False
2012-05-13,0,False
2012-05-14,31,False
2012-05-15,0,False
2012-05-16,0,False
2012-05-17,0,False
2012-05-18,34,False
2012-05-19,0,False
2012-05-20,0,False
2012-05-21,31,False
2012-05-22,32,False
2012-05-23,0,False
2012-05-24,0,False
2012-05-25,0,False
2012-05-26,0,False
2012-05-27,0,False
2012-05-28,0,False
2012-05-29,92,False
2012-05-30,0,False
2012-05-31,0,False
2012-06-01,0,False
2012-06-02,39,False
2012-06-03,38,False
2012-06-04,0,False
2012-06-05,0,False
2012-06-06,0,False
2012-06-07,32,False
2012-06-08,0,False
