date,ISRG stock
2012-10-12,29
2012-10-13,0
2012-10-14,32
2012-10-15,27
2012-10-16,53
2012-10-17,54
2012-10-18,27
2012-10-19,28
2012-10-20,0
2012-10-21,0
2012-10-22,27
2012-10-23,54
2012-10-24,53
2012-10-25,28
2012-10-26,29
2012-10-27,33
2012-10-28,32
2012-10-29,0
2012-10-30,26
2012-10-31,27
2012-11-01,0
2012-11-02,0
2012-11-03,0
2012-11-04,0
2012-11-05,26
2012-11-06,26
2012-11-07,0
2012-11-08,0
2012-11-09,28
2012-11-10,0
2012-11-11,0
2012-11-12,0
2012-11-13,0
2012-11-14,27
2012-11-15,27
2012-11-16,28
2012-11-17,0
2012-11-18,0
2012-11-19,0
2012-11-20,0
2012-11-21,0
2012-11-22,28
2012-11-23,0
2012-11-24,0
2012-11-25,0
2012-11-26,0
2012-11-27,0
2012-11-28,0
2012-11-29,26
2012-11-30,0
2012-12-01,0
2012-12-02,0
2012-12-03,0
2012-12-04,25
2012-12-05,52
2012-12-06,27
2012-12-07,0
2012-12-08,0
2012-12-09,0
2012-12-10,0
2012-12-11,0
2012-12-12,0
2012-12-13,0
2012-12-14,0
2012-12-15,0
2012-12-16,0
2012-12-17,0
2012-12-18,26
2012-12-19,0
2012-12-20,0
2012-12-21,29
2012-12-22,33
2012-12-23,0
2012-12-24,0
2012-12-25,35
2012-12-26,0
2012-12-27,0
2012-12-28,28
2012-12-29,0
2012-12-30,0
2012-12-31,0
2013-01-01,33
2013-01-02,0
2013-01-03,26
2013-01-04,27
2013-01-05,0
2013-01-06,0
2013-01-07,51
2013-01-08,0
2013-01-09,0
2013-01-10,25
2013-01-11,26
2013-01-12,0
2013-01-13,0
2013-01-14,25
2013-01-15,25
2013-01-16,49
2013-01-17,25
2013-01-18,0
2013-01-19,29
2013-01-20,0
2013-01-21,0
2013-01-22,25
2013-01-23,50
2013-01-24,100
2013-01-25,52
2013-01-26,0
2013-01-27,0
2013-01-28,24
2013-01-29,0
2013-01-30,24
2013-01-31,50
2013-02-01,0
2013-02-02,0
2013-02-03,0
2013-02-04,25
2013-02-05,0
2013-02-06,0
2013-02-07,0
2013-02-08,26
2013-02-09,0
2013-02-10,0
2013-02-11,25
2013-02-12,0
2013-02-13,50
2013-02-14,25
2013-02-15,0
2013-02-16,0
2013-02-17,0
2013-02-18,0
2013-02-19,0
2013-02-20,24
2013-02-21,0
2013-02-22,51
2013-02-23,0
2013-02-24,0
2013-02-25,0
2013-02-26,0
2013-02-27,0
2013-02-28,24
2013-03-01,25
2013-03-02,0
2013-03-03,28
2013-03-04,48
2013-03-05,48
2013-03-06,48
2013-03-07,0
2013-03-08,25
2013-03-09,28
2013-03-10,0
2013-03-11,0
2013-03-12,47
2013-03-13,23
2013-03-14,24
2013-03-15,75
2013-03-16,0
2013-03-17,28
2013-03-18,0
2013-03-19,24
2013-03-20,24
2013-03-21,72
2013-03-22,0
2013-03-23,0
2013-03-24,0
2013-03-25,0
2013-03-26,24
2013-03-27,50
2013-03-28,25
2013-03-29,0
2013-03-30,0
2013-03-31,0
2013-04-01,50
2013-04-02,24
2013-04-03,48
2013-04-04,48
2013-04-05,25
2013-04-06,57
2013-04-07,0
2013-04-08,23
2013-04-09,0
2013-04-10,24
2013-04-11,24
2013-04-12,0
2013-04-13,29
2013-04-14,0
2013-04-15,24
2013-04-16,0
2013-04-17,0
2013-04-18,48
2013-04-19,25
2013-04-20,0
2013-04-21,29
2013-04-22,0
2013-04-23,24
2013-04-24,24
2013-04-25,0
2013-04-26,0
2013-04-27,0
2013-04-28,28
2013-04-29,47
2013-04-30,24
2013-05-01,52
2013-05-02,24
2013-05-03,0
2013-05-04,0
2013-05-05,0
2013-05-06,48
2013-05-07,0
2013-05-08,72
2013-05-09,25
2013-05-10,26
2013-05-11,0
2013-05-12,0
2013-05-13,23
2013-05-14,0
2013-05-15,47
2013-05-16,0
2013-05-17,0
2013-05-18,0
2013-05-19,29
2013-05-20,0
2013-05-21,46
2013-05-22,0
2013-05-23,24
2013-05-24,0
2013-05-25,0
2013-05-26,0
2013-05-27,0
2013-05-28,23
2013-05-29,47
2013-05-30,0
2013-05-31,0
2013-06-01,57
2013-06-02,28
2013-06-03,70
2013-06-04,0
2013-06-05,0
2013-06-06,0
2013-06-07,25
2013-06-08,0
2013-06-09,0
2013-06-10,23
2013-06-11,23
2013-06-12,0
2013-06-13,24
2013-06-14,25
2013-06-15,0
2013-06-16,29
2013-06-17,0
2013-06-18,24
2013-06-19,47
2013-06-20,72
2013-06-21,0
2013-06-22,0
2013-06-23,57
2013-06-24,24
2013-06-25,23
2013-06-26,24
2013-06-27,24
2013-06-28,25
2013-06-29,0
