date,CSX Corp,isPartial
2018-01-21,27,False
2018-01-22,0,False
2018-01-23,0,False
2018-01-24,0,False
2018-01-25,24,False
2018-01-26,0,False
2018-01-27,0,False
2018-01-28,0,False
2018-01-29,0,False
2018-01-30,24,False
2018-01-31,23,False
2018-02-01,47,False
2018-02-02,0,False
2018-02-03,0,False
2018-02-04,0,False
2018-02-05,0,False
2018-02-06,0,False
2018-02-07,0,False
2018-02-08,0,False
2018-02-09,25,False
2018-02-10,0,False
2018-02-11,0,False
2018-02-12,0,False
2018-02-13,0,False
2018-02-14,0,False
2018-02-15,0,False
2018-02-16,0,False
2018-02-17,0,False
2018-02-18,0,False
2018-02-19,0,False
2018-02-20,24,False
2018-02-21,0,False
2018-02-22,0,False
2018-02-23,0,False
2018-02-24,0,False
2018-02-25,0,False
2018-02-26,0,False
2018-02-27,0,False
2018-02-28,0,False
2018-03-01,0,False
2018-03-02,0,False
2018-03-03,0,False
2018-03-04,0,False
2018-03-05,0,False
2018-03-06,0,False
2018-03-07,23,False
2018-03-08,24,False
2018-03-09,0,False
2018-03-10,0,False
2018-03-11,0,False
2018-03-12,0,False
2018-03-13,23,False
2018-03-14,0,False
2018-03-15,24,False
2018-03-16,0,False
2018-03-17,0,False
2018-03-18,0,False
2018-03-19,0,False
2018-03-20,0,False
2018-03-21,0,False
2018-03-22,0,False
2018-03-23,0,False
2018-03-24,0,False
2018-03-25,0,False
2018-03-26,0,False
2018-03-27,0,False
2018-03-28,0,False
2018-03-29,50,False
2018-03-30,0,False
2018-03-31,0,False
2018-04-01,0,False
2018-04-02,0,False
2018-04-03,0,False
2018-04-04,0,False
2018-04-05,0,False
2018-04-06,25,False
2018-04-07,0,False
2018-04-08,0,False
2018-04-09,0,False
2018-04-10,0,False
2018-04-11,0,False
2018-04-12,0,False
2018-04-13,0,False
2018-04-14,0,False
2018-04-15,0,False
2018-04-16,0,False
2018-04-17,0,False
2018-04-18,24,False
2018-04-19,0,False
2018-04-20,0,False
2018-04-21,0,False
2018-04-22,0,False
2018-04-23,0,False
2018-04-24,0,False
2018-04-25,0,False
2018-04-26,24,False
2018-04-27,0,False
2018-04-28,0,False
2018-04-29,28,False
2018-04-30,24,False
2018-05-01,50,False
2018-05-02,0,False
2018-05-03,0,False
2018-05-04,0,False
2018-05-05,0,False
2018-05-06,0,False
2018-05-07,0,False
2018-05-08,0,False
2018-05-09,0,False
2018-05-10,24,False
2018-05-11,25,False
2018-05-12,28,False
2018-05-13,0,False
2018-05-14,0,False
2018-05-15,0,False
2018-05-16,0,False
2018-05-17,0,False
2018-05-18,0,False
2018-05-19,0,False
2018-05-20,0,False
2018-05-21,0,False
2018-05-22,0,False
2018-05-23,0,False
2018-05-24,0,False
2018-05-25,0,False
2018-05-26,0,False
2018-05-27,0,False
2018-05-28,24,False
2018-05-29,0,False
2018-05-30,24,False
2018-05-31,0,False
2018-06-01,25,False
2018-06-02,0,False
2018-06-03,0,False
2018-06-04,24,False
2018-06-05,0,False
2018-06-06,0,False
2018-06-07,0,False
2018-06-08,0,False
2018-06-09,0,False
2018-06-10,0,False
2018-06-11,0,False
2018-06-12,0,False
2018-06-13,0,False
2018-06-14,0,False
2018-06-15,0,False
2018-06-16,0,False
2018-06-17,0,False
2018-06-18,0,False
2018-06-19,0,False
2018-06-20,0,False
2018-06-21,24,False
2018-06-22,0,False
2018-06-23,0,False
