date,Liberty Interactive,isPartial
2015-12-26,0,False
2015-12-27,0,False
2015-12-28,0,False
2015-12-29,21,False
2015-12-30,22,False
2015-12-31,0,False
2016-01-01,0,False
2016-01-02,0,False
2016-01-03,24,False
2016-01-04,41,False
2016-01-05,0,False
2016-01-06,21,False
2016-01-07,0,False
2016-01-08,21,False
2016-01-09,23,False
2016-01-10,0,False
2016-01-11,100,False
2016-01-12,0,False
2016-01-13,0,False
2016-01-14,20,False
2016-01-15,0,False
2016-01-16,23,False
2016-01-17,0,False
2016-01-18,20,False
2016-01-19,20,False
2016-01-20,0,False
2016-01-21,41,False
2016-01-22,0,False
2016-01-23,0,False
2016-01-24,23,False
2016-01-25,41,False
2016-01-26,20,False
2016-01-27,20,False
2016-01-28,41,False
2016-01-29,0,False
2016-01-30,0,False
2016-01-31,0,False
2016-02-01,40,False
2016-02-02,60,False
2016-02-03,20,False
2016-02-04,63,False
2016-02-05,0,False
2016-02-06,0,False
2016-02-07,0,False
2016-02-08,0,False
2016-02-09,0,False
2016-02-10,0,False
2016-02-11,0,False
2016-02-12,21,False
2016-02-13,0,False
2016-02-14,0,False
2016-02-15,20,False
2016-02-16,0,False
2016-02-17,60,False
2016-02-18,40,False
2016-02-19,0,False
2016-02-20,0,False
2016-02-21,0,False
2016-02-22,39,False
2016-02-23,0,False
2016-02-24,0,False
2016-02-25,79,False
2016-02-26,83,False
2016-02-27,0,False
2016-02-28,22,False
2016-02-29,0,False
2016-03-01,0,False
2016-03-02,20,False
2016-03-03,0,False
2016-03-04,0,False
2016-03-05,23,False
2016-03-06,0,False
2016-03-07,20,False
2016-03-08,39,False
2016-03-09,20,False
2016-03-10,0,False
2016-03-11,0,False
2016-03-12,23,False
2016-03-13,0,False
2016-03-14,0,False
2016-03-15,20,False
2016-03-16,20,False
2016-03-17,20,False
2016-03-18,0,False
2016-03-19,0,False
2016-03-20,0,False
2016-03-21,0,False
2016-03-22,0,False
2016-03-23,0,False
2016-03-24,43,False
2016-03-25,67,False
2016-03-26,0,False
2016-03-27,0,False
2016-03-28,21,False
2016-03-29,40,False
2016-03-30,20,False
2016-03-31,0,False
2016-04-01,0,False
2016-04-02,0,False
2016-04-03,23,False
2016-04-04,40,False
2016-04-05,0,False
2016-04-06,20,False
2016-04-07,81,False
2016-04-08,0,False
2016-04-09,0,False
2016-04-10,23,False
2016-04-11,0,False
2016-04-12,20,False
2016-04-13,60,False
2016-04-14,41,False
2016-04-15,43,False
2016-04-16,0,False
2016-04-17,0,False
2016-04-18,20,False
2016-04-19,20,False
2016-04-20,0,False
2016-04-21,0,False
2016-04-22,21,False
2016-04-23,47,False
2016-04-24,0,False
2016-04-25,0,False
2016-04-26,20,False
2016-04-27,0,False
2016-04-28,0,False
2016-04-29,0,False
2016-04-30,0,False
2016-05-01,0,False
2016-05-02,41,False
2016-05-03,20,False
2016-05-04,40,False
2016-05-05,0,False
2016-05-06,0,False
2016-05-07,0,False
2016-05-08,0,False
2016-05-09,0,False
2016-05-10,0,False
2016-05-11,0,False
2016-05-12,20,False
2016-05-13,0,False
2016-05-14,0,False
2016-05-15,23,False
2016-05-16,0,False
2016-05-17,40,False
2016-05-18,40,False
2016-05-19,0,False
2016-05-20,0,False
2016-05-21,0,False
2016-05-22,0,False
2016-05-23,0,False
2016-05-24,40,False
2016-05-25,20,False
2016-05-26,42,False
2016-05-27,0,False
2016-05-28,24,False
2016-05-29,0,False
2016-05-30,0,False
2016-05-31,0,False
2016-06-01,0,False
2016-06-02,0,False
2016-06-03,0,False
2016-06-04,24,False
2016-06-05,0,False
2016-06-06,61,False
2016-06-07,40,False
2016-06-08,40,False
2016-06-09,0,False
2016-06-10,0,False
2016-06-11,24,False
2016-06-12,0,False
2016-06-13,40,False
2016-06-14,0,False
2016-06-15,0,False
2016-06-16,0,False
2016-06-17,0,False
2016-06-18,0,False
2016-06-19,0,False
